,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
92,Gulbadin Naib (AFG),2012-2019,45,45,18,18,0,0,18,2 (2ct 0st),0.4
93,MA Leask (SCOT),2013-2019,31,29,18,18,0,0,18,3 (3ct 0st),0.62
94,C Munro (NZ),2012-2019,60,59,18,18,0,0,18,2 (2ct 0st),0.305
95,JE Root (ENG),2012-2019,32,32,18,18,0,0,18,2 (2ct 0st),0.562
96,Samiullah Shinwari (AFG),2010-2019,62,62,18,18,0,0,18,1 (1ct 0st),0.29
97,GC Smith (SA),2005-2011,33,33,18,18,0,0,18,2 (2ct 0st),0.545
98,Tamim Iqbal (BDESH/ICC/World),2007-2018,75,73,18,18,0,0,18,2 (2ct 0st),0.24600000000000002
99,Umar Gul (PAK),2007-2016,60,60,18,18,0,0,18,2 (2ct 0st),0.3
100,J Botha (SA),2006-2012,40,40,17,17,0,0,17,2 (2ct 0st),0.425
101,AC Gilchrist (AUS),2005-2008,13,13,17,17,0,17,0,4 (4ct 0st),1.307
102,DPMD Jayawardene (SL),2006-2014,55,55,17,17,0,0,17,2 (2ct 0st),0.309
103,CK Kapugedera (SL),2006-2017,43,43,17,17,0,0,17,3 (3ct 0st),0.395
104,KMDN Kulasekara (SL),2008-2017,58,58,17,17,0,0,17,2 (2ct 0st),0.293
105,JA Morkel (SA),2005-2015,50,50,17,17,0,0,17,2 (2ct 0st),0.34
106,MDKJ Perera (SL),2013-2019,42,42,17,13,4,7,6,3 (2ct 1st),0.40399999999999997
107,Sikandar Raza (ZIM),2013-2019,32,32,17,17,0,0,17,2 (2ct 0st),0.531
108,BDH Stevens (JER),2019-2019,17,17,17,17,0,0,17,3 (3ct 0st),1.0
109,Sultan Ahmed (OMAN),2015-2017,17,16,17,14,3,14,0,3 (3ct 0st),1.062
110,Babar Hayat (HKG),2014-2017,24,24,16,16,0,0,16,4 (4ct 0st),0.6659999999999999
111,SW Billings (ENG/ICC),2015-2019,26,26,16,15,1,4,11,3 (2ct 1st),0.615
112,K Doriga (PNG),2019-2019,17,17,16,15,1,15,0,5 (5ct 0st),0.941
113,Hamza Tariq (CAN),2013-2019,15,15,16,12,4,12,0,3 (3ct 0st),1.0659999999999998
114,JW Jenner (JER),2019-2019,17,17,16,16,0,0,16,4 (4ct 0st),0.941
115,P Khadka (NEPAL),2014-2019,30,30,16,16,0,0,16,3 (3ct 0st),0.5329999999999999
116,Nawroz Mangal (AFG),2010-2017,32,32,16,16,0,0,16,3 (3ct 0st),0.5
117,AM Rahane (INDIA),2011-2016,20,20,16,16,0,0,16,4 (4ct 0st),0.8
118,WB Rankin (ENG/IRE),2009-2019,48,47,16,16,0,0,16,2 (2ct 0st),0.34
119,Rashid Khan (AFG/ICC),2015-2019,45,45,16,16,0,0,16,2 (2ct 0st),0.355
120,Shafiqullah (AFG),2010-2019,46,46,16,14,2,1,13,3 (3ct 0st),0.34700000000000003
121,Ahmed Shehzad (PAK),2009-2019,59,59,15,15,0,0,15,2 (2ct 0st),0.254
122,Babar Azam (PAK),2016-2019,36,36,15,15,0,0,15,2 (2ct 0st),0.41600000000000004
123,B Bhandari (NEPAL),2014-2019,27,27,15,10,5,7,3,3 (3ct 0st),0.555
124,PD Collingwood (ENG/World),2005-2017,36,36,15,15,0,0,15,2 (2ct 0st),0.41600000000000004
125,CH Gayle (WI),2006-2019,58,58,15,15,0,0,15,1 (1ct 0st),0.258
126,Ghulam Shabber (UAE),2016-2019,17,17,15,14,1,14,0,2 (2ct 0st),0.882
127,ZE Green (NAM),2019-2019,16,16,15,10,5,10,0,4 (3ct 1st),0.937
128,Nasir Hossain (BDESH),2011-2016,31,30,15,15,0,0,15,2 (2ct 0st),0.5
129,SW Poynter (IRE),2015-2019,25,23,15,13,2,8,5,2 (2ct 0st),0.652
130,MS Wade (AUS),2011-2016,26,26,15,13,2,13,0,3 (2ct 1st),0.5760000000000001
131,CAK Walton (WI),2014-2018,19,19,15,13,2,10,3,3 (3ct 0st),0.789
132,SC Williams (ZIM),2006-2019,38,38,15,15,0,0,15,2 (2ct 0st),0.39399999999999996
133,JJ Atkinson (HKG),2014-2016,13,13,14,14,0,14,0,3 (3ct 0st),1.0759999999999998
134,A Balbirnie (IRE),2015-2019,37,35,14,14,0,0,14,2 (2ct 0st),0.4
135,F Behardien (SA),2012-2018,38,38,14,14,0,0,14,2 (2ct 0st),0.368
136,Fakhar Zaman (PAK),2017-2019,34,34,14,14,0,0,14,2 (2ct 0st),0.41100000000000003
137,Imad Wasim (PAK),2015-2019,41,41,14,14,0,0,14,2 (2ct 0st),0.341
138,IA Karim (KENYA),2013-2019,16,16,14,11,3,9,2,5 (2ct 3st),0.875
139,G Malla (NEPAL),2014-2019,24,24,14,14,0,0,14,3 (3ct 0st),0.583
140,Misbah-ul-Haq (PAK),2007-2012,39,39,14,14,0,0,14,2 (2ct 0st),0.358
141,MP O'Dowd (NL),2015-2019,36,35,14,14,0,0,14,2 (2ct 0st),0.4
142,KP Pietersen (ENG),2005-2013,37,36,14,14,0,0,14,3 (3ct 0st),0.38799999999999996
143,MJ Santner (NZ),2015-2019,39,38,14,14,0,0,14,2 (2ct 0st),0.368
144,A Vala (PNG),2015-2019,26,26,14,14,0,0,14,3 (3ct 0st),0.5379999999999999
145,J Vira (VAN),2019-2019,14,14,14,10,4,10,0,3 (3ct 0st),1.0
146,LJ Wright (ENG),2007-2014,51,50,14,14,0,0,14,2 (2ct 0st),0.28
147,AC Agar (AUS),2016-2019,21,21,13,13,0,0,13,2 (2ct 0st),0.619
148,Ahmed Raza (UAE),2014-2019,36,36,13,13,0,0,13,2 (2ct 0st),0.361
149,Ahsan Malik (NL),2012-2017,31,30,13,13,0,0,13,2 (2ct 0st),0.433
150,TC Bruce (NZ),2017-2019,15,14,13,13,0,1,12,3 (3ct 0st),0.9279999999999999
151,MJ Clarke (AUS),2005-2010,34,34,13,13,0,0,13,2 (2ct 0st),0.382
152,NM Coulter-Nile (AUS),2013-2019,28,27,13,13,0,0,13,2 (2ct 0st),0.48100000000000004
153,JEC Franklin (NZ),2006-2013,38,38,13,13,0,0,13,2 (2ct 0st),0.342
154,Liton Das (BDESH),2015-2019,25,25,13,13,0,0,13,2 (2ct 0st),0.52
155,JF Mooney (IRE),2009-2015,27,27,13,13,0,0,13,2 (2ct 0st),0.48100000000000004
156,MA Ouma (KENYA),2007-2013,22,22,13,8,5,8,0,2 (2ct 0st),0.59
157,TD Paine (AUS/World),2009-2017,12,12,13,11,2,11,0,3 (3ct 0st),1.083
158,SP Patil (UAE),2014-2016,18,18,13,9,4,9,0,2 (2ct 0st),0.722
159,KL Rahul (INDIA),2016-2019,34,34,13,13,0,0,13,2 (2ct 0st),0.382
160,Aamir Kaleem (OMAN),2015-2019,25,24,12,12,0,0,12,2 (2ct 0st),0.5
161,TA Boult (NZ),2013-2019,27,27,12,12,0,0,12,3 (3ct 0st),0.444
162,J Charles (WI),2011-2016,34,34,12,10,2,0,10,2 (2ct 0st),0.35200000000000004
