,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
549,EB Knowles (CZK-R),2019-2019,7,7,4,4,0,0,4,4 (4ct 0st),0.5710000000000001
550,SC Kuggeleijn (NZ),2019-2019,9,9,4,4,0,0,4,2 (2ct 0st),0.444
551,Kuldeep Lal (ESP),2019-2019,8,8,4,4,0,0,4,2 (2ct 0st),0.5
552,RE Levi (SA),2012-2012,13,13,4,4,0,0,4,1 (1ct 0st),0.307
553,N Madziva (ZIM),2015-2019,15,15,4,4,0,0,4,1 (1ct 0st),0.266
554,MSS Mandy (Chile),2019-2019,4,4,4,4,0,0,4,1 (1ct 0st),1.0
555,MR Marsh (AUS),2011-2018,11,11,4,4,0,0,4,2 (2ct 0st),0.363
556,XM Marshall (USA/WI),2008-2019,13,13,4,4,0,0,4,1 (1ct 0st),0.307
557,WP Masakadza (ZIM),2015-2019,12,12,4,4,0,0,4,2 (2ct 0st),0.33299999999999996
558,Md Nurul Huda (Fin),2019-2019,5,5,4,4,0,0,4,2 (2ct 0st),0.8
559,AS Mehmi (),2019-2019,3,3,4,4,0,0,4,2 (2ct 0st),1.3330000000000002
560,Mohammad Amir (PAK),2009-2019,48,48,4,4,0,0,4,1 (1ct 0st),0.083
561,Mohammad Ashraful (BDESH),2007-2013,23,23,4,4,0,0,4,1 (1ct 0st),0.17300000000000001
562,Mohammad Boota (UAE),2019-2019,16,16,4,3,1,2,1,2 (1ct 1st),0.25
563,Mohammad Naveed (UAE),2015-2019,31,31,4,4,0,0,4,1 (1ct 0st),0.129
564,Muhammad Awais (),2019-2019,3,3,4,3,1,3,0,3 (2ct 1st),1.3330000000000002
565,GRD Munasinghe (ITA),2019-2019,8,7,4,4,0,0,4,1 (1ct 0st),0.5710000000000001
566,A Nehra (INDIA),2009-2017,27,27,4,4,0,0,4,1 (1ct 0st),0.14800000000000002
567,A Neill (SCOT),2019-2019,5,5,4,4,0,0,4,2 (2ct 0st),0.8
568,SN Netravalkar (USA),2019-2019,8,8,4,4,0,0,4,1 (1ct 0st),0.5
569,N Nipiko (VAN),2019-2019,14,14,4,4,0,0,4,1 (1ct 0st),0.285
570,Noor Ali Zadran (AFG),2010-2017,20,20,4,4,0,0,4,1 (1ct 0st),0.2
571,AA Obanda (KENYA),2007-2019,30,30,4,4,0,0,4,1 (1ct 0st),0.133
572,JS Patel (NZ),2005-2008,11,11,4,4,0,0,4,1 (1ct 0st),0.363
573,RK Paudel (NEPAL),2019-2019,11,11,4,4,0,0,4,2 (2ct 0st),0.363
574,N Pokana (PNG),2016-2019,19,19,4,4,0,0,4,2 (2ct 0st),0.21
575,S Prasanna (SL),2013-2017,20,20,4,4,0,0,4,2 (2ct 0st),0.2
576,AT Rayudu (INDIA),2014-2016,6,6,4,4,0,0,4,2 (2ct 0st),0.6659999999999999
577,B Regmi (NEPAL),2014-2019,18,18,4,4,0,0,4,1 (1ct 0st),0.222
578,MJ Richardson (GER),2019-2019,3,3,4,1,3,1,0,2 (1ct 1st),1.3330000000000002
579,MJG Rippon (NL),2013-2018,18,17,4,4,0,0,4,1 (1ct 0st),0.235
580,PADLR Sandakan (SL),2017-2019,14,14,4,4,0,0,4,1 (1ct 0st),0.285
581,Saqlain Haider (UAE),2016-2016,6,6,4,4,0,0,4,2 (2ct 0st),0.6659999999999999
582,T Shamsi (SA),2017-2019,16,16,4,4,0,0,4,1 (1ct 0st),0.25
583,I Sharma (INDIA),2008-2013,14,14,4,4,0,0,4,1 (1ct 0st),0.285
584,B Shikongo (NAM),2019-2019,11,11,4,4,0,0,4,1 (1ct 0st),0.363
585,Sikander Zulfiqar (NL),2016-2019,11,11,4,4,0,0,4,2 (2ct 0st),0.363
586,Simandeep Singh (HKG),2019-2019,7,7,4,4,0,0,4,2 (2ct 0st),0.5710000000000001
587,Sohaib Maqsood (PAK),2013-2016,20,20,4,4,0,0,4,1 (1ct 0st),0.2
588,ES Szwarczynski (NL),2008-2013,14,13,4,4,0,0,4,2 (2ct 0st),0.307
589,Tanwir Afzal (HKG),2014-2016,21,21,4,4,0,0,4,1 (1ct 0st),0.19
590,RN ten Doeschate (NL),2008-2019,22,21,4,4,0,0,4,1 (1ct 0st),0.19
591,C Tommy (VAN),2019-2019,12,12,4,4,0,0,4,1 (1ct 0st),0.33299999999999996
592,I Udana (SL),2009-2019,27,27,4,4,0,0,4,2 (2ct 0st),0.14800000000000002
593,Umar Amin (PAK),2013-2018,14,14,4,4,0,0,4,1 (1ct 0st),0.285
594,DLS van Bunge (NL),2008-2013,14,13,4,4,0,0,4,2 (2ct 0st),0.307
595,RR Watson (SCOT),2007-2010,10,9,4,4,0,0,4,2 (2ct 0st),0.444
596,K Weeraratne (SL),2008-2009,5,5,4,4,0,0,4,2 (2ct 0st),0.8
597,Yasir Shah (PAK),2011-2011,2,2,4,4,0,0,4,3 (3ct 0st),2.0
598,Ziaur Rahman (BDESH),2012-2014,14,14,4,4,0,0,4,2 (2ct 0st),0.285
599,MR Adair (IRE),2019-2019,17,17,3,3,0,0,3,1 (1ct 0st),0.17600000000000002
600,S Adedeji (NGA),2019-2019,6,6,3,3,0,0,3,1 (1ct 0st),0.5
601,Afif Hossain (BDESH),2018-2019,8,8,3,3,0,0,3,1 (1ct 0st),0.375
602,Aftab Alam (AFG),2012-2018,12,12,3,3,0,0,3,2 (2ct 0st),0.25
603,KK Ahmed (INDIA),2018-2019,14,14,3,3,0,0,3,1 (1ct 0st),0.214
604,Ainool Haqqiem (MAL),2019-2019,4,4,3,1,2,1,0,2 (0ct 2st),0.75
605,TP Allen (USA),2019-2019,5,5,3,3,0,0,3,1 (1ct 0st),0.6
606,Al-Amin Hossain (BDESH),2013-2019,28,26,3,3,0,0,3,1 (1ct 0st),0.115
607,Amir Mangal (GER),2019-2019,9,9,3,3,0,0,3,2 (2ct 0st),0.33299999999999996
608,JM Anderson (ENG),2007-2009,19,19,3,3,0,0,3,1 (1ct 0st),0.157
609,Anowarul Islam (THAI),2019-2019,4,4,3,3,0,0,3,2 (2ct 0st),0.75
610,P Arrighi (Arg),2019-2019,5,5,3,3,0,0,3,2 (2ct 0st),0.6
611,Asad Shafiq (PAK),2010-2012,10,10,3,3,0,0,3,1 (1ct 0st),0.3
612,NJ Astle (NZ),2005-2006,4,4,3,3,0,0,3,2 (2ct 0st),0.75
613,TD Astle (NZ),2016-2019,3,3,3,3,0,0,3,1 (1ct 0st),1.0
614,AJ Ayannaike (NGA),2019-2019,3,3,3,2,1,2,0,3 (2ct 1st),1.0
615,F Baaleri (Ghana),2019-2019,4,4,3,3,0,1,2,2 (2ct 0st),0.75
616,Babar Ali (BAH),2019-2019,3,3,3,3,0,0,3,1 (1ct 0st),1.0
617,V Balakrishnan (Botsw),2019-2019,3,3,3,3,0,0,3,3 (3ct 0st),1.0
618,OGL Bascome (BMUDA),2019-2019,11,11,3,3,0,0,3,1 (1ct 0st),0.272
619,V Baskaran (SGP),2019-2019,12,12,3,3,0,0,3,1 (1ct 0st),0.25
620,C Bisson (JER),2019-2019,14,14,3,3,0,0,3,1 (1ct 0st),0.214
621,A Bohara (NEPAL),2019-2019,17,17,3,3,0,0,3,1 (1ct 0st),0.17600000000000002
622,DG Brownlie (NZ),2010-2014,5,5,3,3,0,0,3,1 (1ct 0st),0.6
623,IG Butler (NZ),2009-2013,19,19,3,3,0,0,3,1 (1ct 0st),0.157
624,J Butler (GUE),2019-2019,9,9,3,3,0,0,3,1 (1ct 0st),0.33299999999999996
625,C Carter (HKG),2015-2017,10,10,3,2,1,2,0,1 (1ct 0st),0.3
626,C Chete (MWI),2019-2019,2,2,3,3,0,3,0,2 (2ct 0st),1.5
627,LA Collado (GIBR),2019-2019,4,4,3,2,1,2,0,1 (1ct 0st),0.75
628,PC Connell (IRE),2008-2010,9,8,3,3,0,0,3,1 (1ct 0st),0.375
629,TK Curran (ENG),2017-2019,15,15,3,3,0,0,3,1 (1ct 0st),0.2
630,CJ Dala (SA),2018-2019,9,9,3,3,0,0,3,1 (1ct 0st),0.33299999999999996
631,SM Davies (ENG),2009-2011,5,5,3,2,1,2,0,2 (2ct 0st),0.6
632,CD de Lange (SCOT),2015-2017,8,7,3,3,0,0,3,1 (1ct 0st),0.428
633,Delawar Khan (DEN),2019-2019,9,7,3,3,0,0,3,2 (2ct 0st),0.428
634,BFW de Leede (NL),2018-2019,8,8,3,3,0,0,3,1 (1ct 0st),0.375
635,JL Denly (ENG),2009-2019,10,10,3,3,0,0,3,1 (1ct 0st),0.3
636,N Dutta (CAN),2019-2019,11,11,3,3,0,0,3,2 (2ct 0st),0.272
637,LH Ferguson (NZ),2017-2019,8,8,3,3,0,0,3,2 (2ct 0st),0.375
638,CRD Fernando (SL),2006-2016,18,18,3,3,0,0,3,1 (1ct 0st),0.166
639,Fiaz Ahmed (BAH),2019-2019,4,4,3,3,0,0,3,2 (2ct 0st),0.75
640,Fitri Sham (MAL),2019-2019,15,14,3,3,0,0,3,1 (1ct 0st),0.214
641,SC Getkate (IRE),2019-2019,14,14,3,3,0,0,3,2 (2ct 0st),0.214
642,D Gim (NGA),2019-2019,6,6,3,3,0,0,3,2 (2ct 0st),0.5
643,BD Glover (NL),2019-2019,19,19,3,3,0,0,3,1 (1ct 0st),0.157
644,LF Goncalves (),2019-2019,3,3,3,1,2,1,0,2 (1ct 1st),1.0
645,Z Groenewald (NAM),2019-2019,10,10,3,3,0,0,3,1 (1ct 0st),0.3
646,GM Hamilton (SCOT),2007-2010,12,11,3,3,0,0,3,2 (2ct 0st),0.272
647,Haris Sohail (PAK),2013-2019,14,14,3,3,0,0,3,2 (2ct 0st),0.214
648,BE Hendricks (SA),2014-2019,11,11,3,3,0,0,3,2 (2ct 0st),0.272
649,MC Henriques (AUS),2009-2017,11,11,3,3,0,0,3,1 (1ct 0st),0.272
650,JR Hopes (AUS),2005-2010,12,12,3,3,0,0,3,1 (1ct 0st),0.25
651,Ibrarul Haq (Saudi),2019-2019,5,5,3,3,0,0,3,3 (3ct 0st),0.6
652,Imran Farhat (PAK),2010-2011,7,7,3,3,0,0,3,1 (1ct 0st),0.428
653,Imran Khan (1) (PAK),2015-2015,3,3,3,3,0,0,3,2 (2ct 0st),1.0
654,Inam-ul-Haq (QAT),2019-2019,11,11,3,3,0,0,3,1 (1ct 0st),0.272
655,MM Iqbal (SCOT),2012-2013,6,6,3,3,0,0,3,1 (1ct 0st),0.5
656,Izatullah Dawlatzai (AFG/GER),2012-2019,14,14,3,3,0,0,3,2 (2ct 0st),0.214
657,Jahurul Islam (BDESH),2010-2013,3,3,3,3,0,0,3,1 (1ct 0st),1.0
658,GSNFG Jayasuriya (SL),2015-2019,16,16,3,3,0,0,3,1 (1ct 0st),0.187
659,S Jora (NEPAL),2019-2019,6,6,3,3,0,0,3,1 (1ct 0st),0.5
660,I Katzarski (),2019-2019,3,3,3,3,0,0,3,2 (2ct 0st),1.0
661,S Kaveri (Mex),2019-2019,7,7,3,3,0,0,3,2 (2ct 0st),0.428
662,JM Kemp (SA),2005-2007,8,8,3,3,0,0,3,1 (1ct 0st),0.375
663,Khurram Nawaz (OMAN),2017-2019,18,18,3,3,0,0,3,1 (1ct 0st),0.166
664,J Kila (PNG),2019-2019,12,12,3,3,0,0,3,2 (2ct 0st),0.25
665,AK Kitchen (NZ),2017-2018,5,4,3,3,0,0,3,2 (2ct 0st),0.75
666,RAS Lakmal (SL),2011-2019,11,11,3,3,0,0,3,1 (1ct 0st),0.272
667,S Lamichhane (ICC/NEPAL),2018-2019,18,18,3,3,0,0,3,1 (1ct 0st),0.166
668,KS Leverock (BMUDA),2019-2019,12,12,3,3,0,0,3,1 (1ct 0st),0.25
669,CA Lynn (AUS),2014-2018,18,17,3,3,0,0,3,1 (1ct 0st),0.17600000000000002
670,WK McCallan (IRE),2008-2009,9,8,3,3,0,0,3,1 (1ct 0st),0.375
671,R McLaren (SA),2009-2014,12,12,3,3,0,0,3,1 (1ct 0st),0.25
672,CD McMillan (NZ),2005-2007,8,8,3,3,0,0,3,2 (2ct 0st),0.375
673,WJ Malinda (Mald),2019-2019,3,3,3,3,0,0,3,2 (2ct 0st),1.0
674,SE Marsh (AUS),2008-2016,15,15,3,3,0,0,3,2 (2ct 0st),0.2
675,RD McCann (IRE),2012-2012,3,3,3,1,2,1,0,2 (0ct 2st),1.0
676,Md Shafiqul Haque (THAI),2019-2019,4,4,3,1,2,1,0,1 (1ct 0st),0.75
677,GP Meade (ITA),2019-2019,8,7,3,3,0,0,3,1 (1ct 0st),0.428
678,Mehran Khan (OMAN),2015-2019,19,18,3,3,0,0,3,1 (1ct 0st),0.166
679,T Mishra (KENYA),2007-2013,15,15,3,3,0,0,3,1 (1ct 0st),0.2
680,Mohamed Rishwan (Mald),2019-2019,11,11,3,3,0,0,3,1 (1ct 0st),0.272
681,Mohammad Asif (PAK),2006-2010,11,11,3,3,0,0,3,1 (1ct 0st),0.272
682,Mohammad Mithun (BDESH),2014-2019,14,12,3,3,0,0,3,2 (2ct 0st),0.25
683,Mohammad Saifuddin (BDESH),2017-2019,13,13,3,3,0,0,3,1 (1ct 0st),0.23
684,Mohammad Sami (PAK),2010-2016,13,13,3,3,0,0,3,1 (1ct 0st),0.23
685,JM Muirhead (AUS),2014-2014,5,5,3,3,0,0,3,1 (1ct 0st),0.6
686,Mujeeb Ur Rahman (AFG),2018-2019,16,16,3,3,0,0,3,1 (1ct 0st),0.187
687,AA Mulla (CAN),2008-2008,4,4,3,1,2,1,0,1 (1ct 0st),0.75
688,T Munyonga (ZIM),2019-2019,5,5,3,3,0,0,3,2 (2ct 0st),0.6
689,TJ Murtagh (IRE),2012-2016,14,14,3,3,0,0,3,1 (1ct 0st),0.214
690,Najeeb Tarakai (AFG),2014-2019,12,12,3,3,0,0,3,2 (2ct 0st),0.25
691,M Nasim Baras (AFG),2015-2015,3,3,3,3,0,0,3,2 (2ct 0st),1.0
692,A Ndlovu (ZIM),2019-2019,3,3,3,3,0,0,3,2 (2ct 0st),1.0
693,PM Nevill (AUS),2016-2016,9,9,3,2,1,2,0,1 (1ct 0st),0.33299999999999996
694,DO Obuya (KENYA),2007-2012,10,10,3,2,1,1,1,1 (1ct 0st),0.3
695,H Patel (CAN),2010-2013,11,11,3,3,0,0,3,1 (1ct 0st),0.272
696,SR Patel (ENG),2011-2013,18,18,3,3,0,0,3,1 (1ct 0st),0.166
697,JL Pattinson (AUS),2011-2012,4,4,3,3,0,0,3,2 (2ct 0st),0.75
698,Pavandeep Singh (MAL),2019-2019,10,10,3,3,0,0,3,2 (2ct 0st),0.3
699,RW Price (ZIM),2008-2012,16,16,3,3,0,0,3,1 (1ct 0st),0.187
700,S Qeshile (SA),2019-2019,2,2,3,3,0,3,0,2 (2ct 0st),1.5
701,K Rabada (SA),2014-2019,21,21,3,3,0,0,3,1 (1ct 0st),0.142
702,LN Rajbanshi (NEPAL),2018-2019,12,12,3,3,0,0,3,1 (1ct 0st),0.25
703,Aminuddin Ramly (MAL),2019-2019,10,9,3,3,0,0,3,2 (2ct 0st),0.33299999999999996
704,S Ravikumar (CRC),2019-2019,3,3,3,3,0,0,3,2 (2ct 0st),1.0
705,AJ Redmond (NZ),2009-2010,7,7,3,3,0,0,3,2 (2ct 0st),0.428
706,KA Reynolds (Blz),2019-2019,3,3,3,3,0,0,3,2 (2ct 0st),1.0
707,MJ Ross (ITA),2019-2019,8,7,3,3,0,0,3,2 (2ct 0st),0.428
708,Saad Bin Zafar (CAN),2019-2019,11,11,3,3,0,0,3,1 (1ct 0st),0.272
709,Sajid Cheema (Saudi),2019-2019,5,5,3,3,0,0,3,1 (1ct 0st),0.6
710,Salman Butt (PAK),2007-2010,24,24,3,3,0,0,3,1 (1ct 0st),0.125
711,P Sarraf (NEPAL),2019-2019,9,9,3,3,0,0,3,1 (1ct 0st),0.33299999999999996
712,BM Scholtz (NAM),2019-2019,14,14,3,3,0,0,3,1 (1ct 0st),0.214
713,SMSM Senanayake (SL),2012-2016,24,24,3,3,0,0,3,1 (1ct 0st),0.125
714,Shahzaib Hasan (PAK),2009-2010,10,10,3,3,0,0,3,2 (2ct 0st),0.3
715,D Sheeli (KUW),2019-2019,3,3,3,3,0,0,3,3 (3ct 0st),1.0
716,NK Shetty (Mex),2019-2019,2,2,3,3,0,0,3,2 (2ct 0st),1.5
717,Shiraz Khan (KUW),2019-2019,6,6,3,3,0,0,3,1 (1ct 0st),0.5
718,P Silas (Botsw),2019-2019,4,4,3,3,0,0,3,1 (1ct 0st),0.75
719,VS Solanki (ENG),2005-2007,3,3,3,3,0,2,1,2 (2ct 0st),1.0
720,MWR Stokes (GUE),2019-2019,9,9,3,3,0,0,3,1 (1ct 0st),0.33299999999999996
721,AO Suji (KENYA),2007-2010,8,8,3,3,0,0,3,1 (1ct 0st),0.375
722,CR Suryawanshi (SGP),2019-2019,3,3,3,3,0,0,3,1 (1ct 0st),1.0
723,A Symonds (AUS),2005-2009,14,14,3,3,0,0,3,1 (1ct 0st),0.214
724,SW Tait (AUS),2007-2016,21,21,3,3,0,0,3,1 (1ct 0st),0.142
725,SN Thakur (INDIA),2018-2018,7,7,3,3,0,0,3,1 (1ct 0st),0.428
726,OFJ Tonuu (Samoa),2019-2019,4,4,3,3,0,3,0,1 (1ct 0st),0.75
727,JD Unadkat (INDIA),2016-2018,10,10,3,3,0,0,3,1 (1ct 0st),0.3
728,LV van Beek (NL),2014-2016,8,8,3,3,0,0,3,1 (1ct 0st),0.375
729,HE van der Dussen (SA),2018-2019,9,9,3,3,0,0,3,2 (2ct 0st),0.33299999999999996
730,M Vijay (INDIA),2010-2015,9,9,3,3,0,0,3,1 (1ct 0st),0.33299999999999996
731,TP Visee (NL),2015-2019,27,26,3,3,0,0,3,1 (1ct 0st),0.115
732,AC Voges (AUS),2007-2013,7,7,3,3,0,0,3,1 (1ct 0st),0.428
733,C Waiswa (UGA),2019-2019,4,4,3,3,0,0,3,1 (1ct 0st),0.75
734,HR Walsh (USA/WI),2019-2019,13,13,3,3,0,0,3,1 (1ct 0st),0.23
735,BJ Watling (NZ),2009-2014,5,5,3,3,0,2,1,1 (1ct 0st),0.6
736,UT Yadav (INDIA),2012-2019,7,7,3,3,0,0,3,1 (1ct 0st),0.428
737,KJ Young (Blz),2019-2019,3,3,3,3,0,3,0,1 (1ct 0st),1.0
738,SA Abbott (AUS),2014-2019,4,4,2,2,0,0,2,2 (2ct 0st),0.5
739,Abdullah Akbarjan (Aut),2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4
740,Abdul Razzaq (PAK),2006-2013,32,32,2,2,0,0,2,1 (1ct 0st),0.062
741,Abdul Shakoor (ROM),2019-2019,2,2,2,1,1,1,0,2 (1ct 1st),1.0
742,AS Abioye (NGA),2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4
743,IKO Aboagye (Ghana),2019-2019,4,4,2,2,0,0,2,1 (1ct 0st),0.5
744,Abu Hider (BDESH),2016-2018,13,12,2,2,0,0,2,1 (1ct 0st),0.166
745,Abdul Hashmi (DEN),2019-2019,8,6,2,1,1,1,0,1 (1ct 0st),0.33299999999999996
746,Ahmed Faiz (MAL),2019-2019,10,9,2,2,0,0,2,1 (1ct 0st),0.222
747,CM Akachukwu (NGA),2019-2019,8,8,2,2,0,0,2,2 (2ct 0st),0.25
748,DI Allan (KENYA),2012-2013,10,10,2,2,0,0,2,1 (1ct 0st),0.2
749,Alok Kapali (BDESH),2007-2011,7,7,2,2,0,0,2,1 (1ct 0st),0.285
750,TR Ambrose (ENG),2008-2008,1,1,2,1,1,1,0,2 (1ct 1st),2.0
751,Amjad Khan (UAE),2015-2016,4,4,2,2,0,0,2,1 (1ct 0st),0.5
752,Amjad Mahboob (SGP),2019-2019,11,11,2,2,0,0,2,1 (1ct 0st),0.18100000000000002
753,Amjad Sher (Fin),2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4
754,Anamul Haque (BDESH),2012-2015,13,12,2,2,0,1,1,1 (1ct 0st),0.166
755,Anique Uddin (DEN),2019-2019,6,5,2,2,0,0,2,1 (1ct 0st),0.4
756,R Ankad (Mex),2019-2019,8,8,2,2,0,0,2,1 (1ct 0st),0.25
757,Anwar Arudin (MAL),2019-2019,12,11,2,2,0,0,2,1 (1ct 0st),0.18100000000000002
758,Anwar Rahman (MAL),2019-2019,9,8,2,2,0,0,2,1 (1ct 0st),0.25
759,Areeb Quadir (Fin),2019-2019,2,2,2,2,0,0,2,2 (2ct 0st),1.0
760,Ashfaq Ahmed (UAE),2018-2019,12,12,2,2,0,0,2,1 (1ct 0st),0.166
761,MNM Aslam (KUW),2019-2019,6,6,2,2,0,0,2,1 (1ct 0st),0.33299999999999996
762,Asrar Ahmed (),2019-2019,3,3,2,2,0,0,2,1 (1ct 0st),0.6659999999999999
763,AA Banner (Blz),2019-2019,3,3,2,2,0,0,2,2 (2ct 0st),0.6659999999999999
764,GG Banner (Blz),2019-2019,3,3,2,2,0,0,2,2 (2ct 0st),0.6659999999999999
765,LJ Barker (GUE),2019-2019,9,9,2,2,0,0,2,1 (1ct 0st),0.222
766,GEF Barnett (CAN),2008-2010,5,5,2,2,0,0,2,1 (1ct 0st),0.4
767,CD Barnwell (WI),2011-2013,6,6,2,2,0,0,2,1 (1ct 0st),0.33299999999999996
768,A Bhagwat (HKG),2019-2019,4,4,2,2,0,2,0,2 (2ct 0st),0.5
769,M Bhanuka (SL),2019-2019,2,2,2,2,0,2,0,1 (1ct 0st),1.0
770,RA Bhatti (CAN),2012-2012,4,4,2,1,1,1,0,1 (1ct 0st),0.5
771,DE Bollinger (AUS),2011-2014,9,9,2,2,0,0,2,1 (1ct 0st),0.222
772,JP Bray (IRE),2009-2009,2,2,2,2,0,0,2,1 (1ct 0st),1.0
773,GB Brent (ZIM),2006-2007,3,3,2,2,0,0,2,2 (2ct 0st),0.6659999999999999
774,PR Brown (ENG),2019-2019,4,4,2,2,0,0,2,1 (1ct 0st),0.5
775,AF Buurman (NL),2010-2010,4,4,2,1,1,1,0,2 (1ct 1st),0.5
776,VD Chandra (PNM),2019-2019,3,3,2,2,0,2,0,1 (1ct 0st),0.6659999999999999
777,BB Chari (ZIM),2019-2019,3,3,2,2,0,0,2,1 (1ct 0st),0.6659999999999999
778,PP Chawla (INDIA),2010-2012,7,7,2,2,0,0,2,2 (2ct 0st),0.285
779,CK Coventry (ZIM),2010-2015,13,13,2,2,0,1,1,1 (1ct 0st),0.153
780,KM Dabengwa (ZIM),2006-2010,8,8,2,2,0,0,2,1 (1ct 0st),0.25
781,F Damiao Couana (Moz),2019-2019,7,6,2,2,0,0,2,1 (1ct 0st),0.33299999999999996
782,P Danci (ROM),2019-2019,2,2,2,2,0,0,2,2 (2ct 0st),1.0
783,RR David (CAN),2008-2008,4,4,2,2,0,0,2,1 (1ct 0st),0.5
784,JM Davison (CAN),2008-2010,5,5,2,2,0,0,2,1 (1ct 0st),0.4
785,LA Dawson (ENG),2016-2018,6,6,2,2,0,0,2,1 (1ct 0st),0.33299999999999996
786,TB de Bruyn (SA),2017-2017,2,2,2,2,0,0,2,2 (2ct 0st),1.0
787,N Deonarine (WI),2010-2013,8,8,2,2,0,0,2,2 (2ct 0st),0.25
788,AP Devcich (NZ),2013-2014,4,4,2,2,0,0,2,2 (2ct 0st),0.5
789,R Dhawan (INDIA),2016-2016,1,1,2,2,0,0,2,2 (2ct 0st),2.0
790,GD Drummond (SCOT),2008-2013,17,17,2,2,0,0,2,1 (1ct 0st),0.11699999999999999
791,L Emilio (Moz),2019-2019,5,4,2,2,0,0,2,1 (1ct 0st),0.5
792,GDR Eranga (CAN),2019-2019,9,9,2,2,0,0,2,1 (1ct 0st),0.222
793,Faran Afzal (ESP),2019-2019,9,9,2,2,0,0,2,1 (1ct 0st),0.222
794,Fayyaz Butt (OMAN),2019-2019,14,14,2,2,0,0,2,1 (1ct 0st),0.142
795,A Ferguson (Arg),2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4
796,N Pradeep (SL),2016-2019,14,14,2,2,0,0,2,1 (1ct 0st),0.142
797,WIA Fernando (SL),2019-2019,10,10,2,2,0,0,2,1 (1ct 0st),0.2
798,NJ Ferraby (JER),2019-2019,14,14,2,2,0,0,2,1 (1ct 0st),0.142
799,SP Fleming (NZ),2005-2006,5,5,2,2,0,0,2,1 (1ct 0st),0.4
800,DR Flynn (NZ),2008-2012,5,5,2,2,0,0,2,1 (1ct 0st),0.4
801,JD Freyone (GIBR),2019-2019,4,4,2,2,0,0,2,2 (2ct 0st),0.5
802,GC Galanis (),2019-2019,2,2,2,2,0,0,2,1 (1ct 0st),1.0
803,V Ganesan (GER),2019-2019,4,4,2,2,0,0,2,1 (1ct 0st),0.5
804,CJ Gannon (USA),2019-2019,4,4,2,2,0,0,2,2 (2ct 0st),0.5
805,Habib Ahmadzai (Aut),2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4
806,Hamid Hassan (AFG),2010-2016,22,22,2,2,0,0,2,1 (1ct 0st),0.09
807,Hammad Azam (PAK),2012-2013,5,5,2,2,0,0,2,1 (1ct 0st),0.4
808,Jandu Hamoud (KUW),2019-2019,6,6,2,2,0,0,2,1 (1ct 0st),0.33299999999999996
809,AS Hansra (CAN),2012-2013,8,8,2,2,0,0,2,1 (1ct 0st),0.25
810,Haseeb Amjad (HKG),2014-2016,18,18,2,2,0,0,2,1 (1ct 0st),0.111
811,JW Hastings (AUS),2010-2016,9,9,2,2,0,0,2,1 (1ct 0st),0.222
812,C Hauptfleisch (Caym),2019-2019,5,5,2,1,1,1,0,1 (1ct 0st),0.4
813,Hazratullah Zazai (AFG),2016-2019,13,13,2,2,0,0,2,1 (1ct 0st),0.153
814,L Hermida (Mex),2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4
815,D Heyliger (CAN),2019-2019,11,11,2,2,0,0,2,1 (1ct 0st),0.18100000000000002
816,RM Hira (NZ),2012-2013,15,15,2,2,0,0,2,1 (1ct 0st),0.133
817,Hirenkumar Patel (Chile),2019-2019,4,4,2,2,0,0,2,1 (1ct 0st),0.5
818,S Hirugade (Mex),2019-2019,6,6,2,2,0,0,2,1 (1ct 0st),0.33299999999999996
819,Imran Anwar (BAH),2019-2019,4,4,2,2,0,0,2,1 (1ct 0st),0.5
820,Imran Ali (KUW),2019-2019,4,4,2,2,0,0,2,2 (2ct 0st),0.5
821,CA Ingram (SA),2010-2012,9,9,2,2,0,0,2,1 (1ct 0st),0.222
822,Irfan Ahmed (HKG),2014-2015,8,8,2,2,0,0,2,1 (1ct 0st),0.25
823,Ismat Ullah (),2019-2019,4,4,2,2,0,0,2,1 (1ct 0st),0.5
824,H Ivanov (),2019-2019,3,3,2,2,0,2,0,1 (1ct 0st),0.6659999999999999
825,Joginder Sharma (INDIA),2007-2007,4,4,2,2,0,0,2,1 (1ct 0st),0.5
826,GO Jones (ENG),2005-2006,2,2,2,2,0,2,0,1 (1ct 0st),1.0
827,MBS Jonkman (NL),2010-2010,3,3,2,2,0,0,2,2 (2ct 0st),0.6659999999999999
828,Junaid Siddiqui (CAN),2012-2019,13,13,2,2,0,0,2,1 (1ct 0st),0.153
829,Junaid Siddique (UAE),2019-2019,8,8,2,2,0,0,2,1 (1ct 0st),0.25
830,Karweng NG (PHI),2019-2019,4,4,2,2,0,0,2,2 (2ct 0st),0.5
831,MS Kasprowicz (AUS),2005-2005,2,2,2,2,0,0,2,1 (1ct 0st),1.0
832,SM Katich (AUS),2005-2006,3,3,2,2,0,0,2,1 (1ct 0st),0.6659999999999999
833,Z Khan (INDIA),2006-2012,17,17,2,2,0,0,2,1 (1ct 0st),0.11699999999999999
834,Khurram Khan (UAE),2014-2014,3,3,2,2,0,0,2,1 (1ct 0st),0.6659999999999999
